metric,crossover_type,crossover_label,generation_zero_based,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,8,10,0.22705383308818958,0.036718162664910535,0.23371324483490974,0.20747077987711146,0.25028465030806024,0.04281387043094878,0.1551472343139379,0.2771291242419288,0.20078724185195593,0.25332042432442325
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,9,10,0.21817004907054166,0.03535778275062738,0.2348002931081404,0.19744136295221418,0.2437441692117279,0.04630280625951372,0.1461866666719769,0.2560957471687592,0.19287661500070963,0.2434634831403737
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,10,10,0.20039065697132058,0.04933808338618622,0.21447872418404612,0.1567872881009352,0.2425155169197022,0.08572822881876699,0.1202330597169716,0.2575742815416473,0.1650963182945484,0.23568499564809275
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,11,10,0.1826409658528046,0.07045977354389846,0.20221745071020375,0.1526250617161765,0.2367909672141742,0.08416590549799768,0.0289060351066252,0.2602922260533923,0.1322370802563225,0.2330448514492867
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,12,10,0.17705262158145146,0.08165431110270495,0.21225833661577437,0.11428210421250545,0.23576743356811358,0.12148532935560813,0.0212648620855479,0.2783439999483299,0.11864064623333168,0.23546459692957125
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,13,10,0.15927586439754768,0.09192649739348348,0.1936600438904012,0.11059172571322128,0.21301846370795732,0.10242673799473605,0.0075122702001365,0.2833387594258647,0.09351560964708815,0.2250361191480072
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,14,10,0.14617687549547817,0.09464620780998274,0.15858613830858148,0.08358307728070438,0.20923482818998773,0.12565175090928335,0.0080036289702518,0.3017587702732313,0.07847105711638475,0.2138826938745716
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,15,10,0.129231192499345,0.09705942185614846,0.1157673486809409,0.07362821123146178,0.19907547367705283,0.12544726244559107,0.0,0.3094531823032639,0.05979906478678518,0.19866332021190483
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,16,10,0.11547526328792568,0.0934033091224783,0.10713535637315424,0.0489034922496196,0.1655961566671754,0.1166926644175558,0.0,0.2904513883746446,0.04865856106833795,0.18229196550751342
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,17,10,0.09852980218766841,0.08261601678068056,0.0909569435540813,0.052711639001407525,0.1182682253444249,0.06555658634301736,0.0,0.2415867040047723,0.039429864041314974,0.15762974033402183
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,18,10,0.1007419497329467,0.07892544179965603,0.0847313112834325,0.05406731293489,0.146937945780911,0.09287063284602098,0.0,0.2299087675491534,0.044282089886204946,0.15720180957968846
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,19,10,0.07961575153978953,0.07045239186336247,0.07206724044735925,0.021586372122141526,0.12101058090602976,0.09942420878388823,0.0,0.219576626620036,0.029217146479456384,0.13001435660012267
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,20,10,0.06048350904239454,0.06440732943708996,0.04236016951505415,0.006523192787943925,0.09501575206233717,0.08849255927439324,0.0,0.1864007820847769,0.014409281135609839,0.10655773694917924
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,21,10,0.044109202747724105,0.04494421186459453,0.03054248779952725,0.002969367820884325,0.07676928626083446,0.07379991843995014,0.0,0.1227869339194991,0.011958050407790875,0.07626035508765733
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,22,10,0.039054908403941206,0.043762853274806814,0.02415220909786695,0.0045727206497975,0.06966801167505755,0.06509529102526006,0.0,0.1173119432364225,0.007748849089619016,0.07036096771826339
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,23,10,0.029169548143598324,0.03555568834860978,0.012264373876538951,0.002864098284341625,0.0508109351788128,0.04794683689447118,0.0,0.096336641325829,0.003734540937522908,0.05460455534967374
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,24,10,0.02366704072371007,0.03383438666497159,0.00572819656868325,0.0,0.04544563461963125,0.04544563461963125,0.0,0.0949137243888639,-0.0005366214357469777,0.047870702883167124
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,25,10,0.02176202652031447,0.030958049137517693,0.01335936952433105,0.0,0.020245095930864824,0.020245095930864824,0.0,0.0949137243888639,-0.00038402772502788354,0.04390808076565682
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,26,10,0.01490030829893205,0.0275441780357537,0.00572819656868325,0.0,0.0154312131365545,0.0154312131365545,0.0,0.0904220214064872,-0.004803609677731514,0.03460422627559562
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,27,10,0.00944118670372817,0.019206320016353817,0.0,0.0,0.0100809148823458,0.0100809148823458,0.0,0.0617386478713359,-0.004298186957905653,0.023180560365361993
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,28,10,0.00992983034078159,0.020689585475065272,0.0,0.0,0.0100809148823458,0.0100809148823458,0.0,0.0666250842418701,-0.004870607510102381,0.024730268191665558
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,29,10,0.013424097554176931,0.0271883874808547,0.0,0.0,0.011762835193973475,0.011762835193973475,0.0,0.0873293316547987,-0.006025303191966936,0.0328734983003208
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,30,10,0.012456153940348309,0.02373914998287229,0.0,0.0,0.00889873690963185,0.00889873690963185,0.0,0.0644860948579267,-0.004525810941343271,0.029438118822039887
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,31,10,0.01564121045161889,0.028273309299023393,0.0,0.0,0.01073481300498615,0.01073481300498615,0.0,0.0727167227306692,-0.004584296609570573,0.03586671751280836
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,32,10,0.01775651435366814,0.031072326911968606,0.0,0.0,0.013523683184831175,0.013523683184831175,0.0,0.0778807094626172,-0.004471289286824564,0.03998431799416084
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,33,10,0.01781817650908764,0.029992247400701933,0.0,0.0,0.018113873423217,0.018113873423217,0.0,0.0778807094626172,-0.0036369847940425706,0.039273337812217854
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,34,10,0.01673115281075156,0.026961842358168387,0.0,0.0,0.029130329995342874,0.029130329995342874,0.0,0.0792083298181295,-0.002556187317368782,0.036018492938871896
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,35,10,0.01956930575999282,0.02686579132395932,0.0059324912730879,0.0,0.03642689006763718,0.03642689006763718,0.0,0.0792083298181295,0.0003506764025178223,0.03878793511746782
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,36,10,0.02423325975260756,0.029577419205374735,0.0059324912730879,0.0,0.04941995120559483,0.04941995120559483,0.0,0.0670223589414005,0.003074848663788505,0.04539167084142662
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,37,10,0.027288509214077827,0.044671276378294635,0.0059324912730879,0.0,0.03727066104952235,0.03727066104952235,0.0,0.1366181981527955,-0.004667396840851247,0.0592444152690069
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,38,10,0.02161124166209193,0.03657509768127074,0.0,0.0,0.030745074154336124,0.030745074154336124,0.0,0.1082829269976969,-0.004553007050095006,0.04777549037427886
