experiment,run,crossover_type,final_generation,final_best_robot_id,final_best_fitness,final_best_born_generation,child_id,parent_id,parent_choice,chosen_parent_slot,original_child_generation,generation_zero_based,step_from_final_best,distance
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,1177,946,elite_parent,parent1,48,47,1,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,1228,1177,elite_parent,parent1,50,49,0,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,30,11,elite_parent,parent2,2,1,12,0.724162277819603
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,151,30,elite_parent,parent1,7,6,11,0.5285082664011236
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,305,151,elite_parent,parent2,13,12,10,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,352,305,elite_parent,parent1,15,14,9,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,390,352,elite_parent,parent1,16,15,8,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,413,390,elite_parent,parent2,17,16,7,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,466,413,elite_parent,parent1,19,18,6,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,510,466,elite_parent,parent1,21,20,5,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,573,510,elite_parent,parent2,23,22,4,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,682,573,elite_parent,parent2,28,27,3,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,1104,682,elite_parent,parent1,45,44,2,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,1167,1104,elite_parent,parent1,47,46,1,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,50,1190,31.388691118657043,48,1190,1167,elite_parent,parent2,48,47,0,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,29,25,elite_parent,parent1,2,1,19,0.704726518133579
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,68,29,elite_parent,parent2,3,2,18,0.7177780413310265
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,130,68,elite_parent,parent1,6,5,17,0.3604203870576394
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,549,130,elite_parent,parent1,22,21,16,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,557,549,elite_parent,parent1,23,22,15,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,610,557,elite_parent,parent2,25,24,14,0.1949858478065333
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,673,610,elite_parent,parent2,27,26,13,0.1949858478065333
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,686,673,elite_parent,parent1,28,27,12,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,713,686,elite_parent,parent1,29,28,11,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,733,713,elite_parent,parent2,30,29,10,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,50,1238,62.63957914817573,50,766,733,elite_parent,parent2,31,30,9,0.0
