metric,response_column,crossover_type,crossover_label,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
phase_muscle_prop,phase_muscle_prop_population_mean,arithmetic_recombination,arithmetic recombination,10,0.46064,0.16319980392145084,0.4836,0.33,0.556,0.22600000000000003,0.2212,0.75,0.34389389321468444,0.5773861067853155
phase_muscle_prop,phase_muscle_prop_population_mean,homologous_gene_block_recombination,homologous recombination,10,0.51788,0.11290539599347962,0.5104,0.4736,0.5637,0.09009999999999996,0.33,0.75,0.43711234525675446,0.5986476547432455
phase_muscle_prop,phase_muscle_prop_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,0.51204,0.11334250158994491,0.5102,0.4456,0.5672999999999999,0.12169999999999992,0.35479999999999995,0.75,0.43095965874969255,0.5931203412503075
offphase_muscle_count,offphase_muscle_count_population_mean,arithmetic_recombination,arithmetic recombination,10,2.9199999999999995,1.9751343132950618,2.54,1.25,3.81,2.56,1.0,7.0,1.5070740288004858,4.332925971199513
offphase_muscle_count,offphase_muscle_count_population_mean,homologous_gene_block_recombination,homologous recombination,10,3.1,1.6666399997866634,3.0,2.01,3.66,1.6500000000000004,1.0,7.04,1.9077575664158168,4.292242433584184
offphase_muscle_count,offphase_muscle_count_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,2.896,0.7113555135561027,3.0,2.3600000000000003,3.04,0.6799999999999997,1.96,4.0,2.3871269207902035,3.4048730792097963
offphase_muscle_prop,offphase_muscle_prop_population_mean,arithmetic_recombination,arithmetic recombination,10,0.24316,0.08676024691322891,0.2366,0.1874,0.2787,0.09129999999999999,0.11,0.4,0.18109545820847134,0.30522454179152864
offphase_muscle_prop,offphase_muscle_prop_population_mean,homologous_gene_block_recombination,homologous recombination,10,0.25068,0.047916983767066705,0.25,0.20900000000000002,0.289,0.07999999999999996,0.1916,0.33,0.21640225474981156,0.28495774525018847
offphase_muscle_prop,offphase_muscle_prop_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,0.24520000000000003,0.07530961278467563,0.22600000000000003,0.19299999999999998,0.2704,0.0774,0.1784,0.43,0.19132674840986819,0.29907325159013187
size,size_population_mean,arithmetic_recombination,arithmetic recombination,10,11.815999999999999,5.893852164190525,11.04,6.75,17.52,10.77,4.0,20.0,7.599792151682793,16.032207848317206
size,size_population_mean,homologous_gene_block_recombination,homologous recombination,10,12.516,6.0690969491167115,12.440000000000001,8.52,14.620000000000001,6.100000000000001,4.0,23.0,8.174429584553675,16.857570415446325
size,size_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,12.78,4.3680150589891005,13.16,8.91,15.34,6.43,7.0,20.96,9.655310262247315,15.904689737752683
symmetry,symmetry_population_mean,arithmetic_recombination,arithmetic recombination,10,0.6197555555555556,0.1609342903677975,0.5833333333333333,0.5127777777777778,0.6625000000000001,0.1497222222222223,0.4444444444444444,1.0,0.5046300995363752,0.7348810115747361
symmetry,symmetry_population_mean,homologous_gene_block_recombination,homologous recombination,10,0.5672222222222223,0.14114811413354694,0.5896666666666667,0.5125,0.6605000000000001,0.14800000000000013,0.33333333333333326,0.7333333333333334,0.46625094401460765,0.6681935004298369
symmetry,symmetry_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,0.47976222222222215,0.11924954966225325,0.43333333333333335,0.40800000000000003,0.58975,0.18174999999999997,0.33333333333333326,0.6612888888888889,0.39445623333959506,0.5650682111048493
number_of_limbs,number_of_limbs_population_mean,arithmetic_recombination,arithmetic recombination,10,1.8560000000000003,0.7438518370989988,1.96,1.17,2.0,0.8300000000000001,0.96,3.0,1.3238804513257239,2.388119548674277
number_of_limbs,number_of_limbs_population_mean,homologous_gene_block_recombination,homologous recombination,10,1.6,0.9254908607508414,2.0,1.26,2.0,0.74,0.0,2.92,0.9379437213658954,2.2620562786341045
number_of_limbs,number_of_limbs_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,1.308,0.8489575306744671,1.2,0.9400000000000001,2.0,1.06,0.0,2.52,0.7006923675715774,1.9153076324284228
total_voxel_volume,total_voxel_volume_population_mean,arithmetic_recombination,arithmetic recombination,10,11.815999999999999,5.893852164190525,11.04,6.75,17.52,10.77,4.0,20.0,7.599792151682793,16.032207848317206
total_voxel_volume,total_voxel_volume_population_mean,homologous_gene_block_recombination,homologous recombination,10,12.516,6.0690969491167115,12.440000000000001,8.52,14.620000000000001,6.100000000000001,4.0,23.0,8.174429584553675,16.857570415446325
total_voxel_volume,total_voxel_volume_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,12.78,4.3680150589891005,13.16,8.91,15.34,6.43,7.0,20.96,9.655310262247315,15.904689737752683
bounding_box_area,bounding_box_area_population_mean,arithmetic_recombination,arithmetic recombination,10,18.080000000000002,9.48066570564653,18.28,12.0,24.0,12.0,4.0,36.0,11.29794031443804,24.862059685561963
bounding_box_area,bounding_box_area_population_mean,homologous_gene_block_recombination,homologous recombination,10,19.619999999999997,10.09177883229711,17.6,15.0,23.0,8.0,6.0,36.0,12.400776318970276,26.83922368102972
bounding_box_area,bounding_box_area_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,20.387999999999998,6.5447532845444645,19.8,15.64,26.060000000000002,10.420000000000002,12.0,30.0,15.706165540145335,25.06983445985466
morphological_density,morphological_density_population_mean,arithmetic_recombination,arithmetic recombination,10,0.6811611111111111,0.14339776628615014,0.6663611111111112,0.5729166666666667,0.7491666666666666,0.1762499999999999,0.5,1.0,0.5785805287001407,0.7837416935220816
morphological_density,morphological_density_population_mean,homologous_gene_block_recombination,homologous recombination,10,0.6494333333333332,0.08508710053610125,0.6444444444444444,0.6079166666666667,0.6659999999999999,0.058083333333333265,0.5333333333333333,0.8586666666666667,0.5885656883573523,0.710300978309314
morphological_density,morphological_density_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,0.6279788888888888,0.08804830845279865,0.6440444444444444,0.5932583333333333,0.7014166666666667,0.10815833333333336,0.4375,0.7075,0.564992923379737,0.6909648543980405
muscle_to_tissue_ratio,muscle_to_tissue_ratio_population_mean,arithmetic_recombination,arithmetic recombination,10,1.7572984126984128,1.541316940229256,1.4285714285714284,0.8042222222222223,2.715404761904762,1.9111825396825397,0.0,4.5,0.6547066952437266,2.859890130153099
muscle_to_tissue_ratio,muscle_to_tissue_ratio_population_mean,homologous_gene_block_recombination,homologous recombination,10,2.9932000000000003,1.8803141791588125,3.0,2.134666666666667,3.3233333333333333,1.1886666666666663,0.0,7.28,1.6481042665782017,4.338295733421798
muscle_to_tissue_ratio,muscle_to_tissue_ratio_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,2.0233492063492067,1.734023755696432,1.8409047619047618,1.3521428571428573,2.3813333333333335,1.0291904761904762,0.0,6.04,0.7829033376259482,3.263795075072465
actuation_energy_cost,actuation_energy_cost_population_mean,arithmetic_recombination,arithmetic recombination,10,7.944,4.023495439981951,7.68,4.25,11.22,6.970000000000001,3.0,14.12,5.065764750940229,10.822235249059771
actuation_energy_cost,actuation_energy_cost_population_mean,homologous_gene_block_recombination,homologous recombination,10,9.724,5.12307025999926,9.52,6.51,11.5,4.99,3.0,20.08,6.05917630982929,13.38882369017071
actuation_energy_cost,actuation_energy_cost_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,9.332,2.903793687192287,8.66,7.25,11.08,3.83,5.28,14.96,7.254751132405515,11.409248867594487
environmental_contact_area,environmental_contact_area_population_mean,arithmetic_recombination,arithmetic recombination,10,3.3880000000000003,1.8198949908656206,4.0,1.97,4.0600000000000005,2.0900000000000007,1.0,6.0,2.0861255501757854,4.689874449824215
environmental_contact_area,environmental_contact_area_population_mean,homologous_gene_block_recombination,homologous recombination,10,3.4,1.577621275493231,3.5,3.0,4.0,1.0,1.0,6.0,2.2714377255982114,4.528562274401788
environmental_contact_area,environmental_contact_area_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,2.3240000000000003,0.9075387962322418,2.3,1.58,2.9,1.3199999999999998,1.12,4.0,1.674785854695382,2.9732141453046186
